Tweet_ID,NER_Text,Start_Pos,Eng_Pos,NER_Label,Prob
1365043893729951754,covid19,92,99,MISC,0.9689
1365043893729951754,rasak,200,205,PER,0.753
1365043895634042885,cuomo,9,14,PER,0.9957
1365043895634042885,new yorkers,23,34,MISC,0.8426
1365043895759822849,georgia,11,18,LOC,1.0
1365043895759822849,dph,20,23,ORG,0.9985
1365043895822921738,baker,14,19,PER,1.0
1365043895822921738,massachusetts,35,48,LOC,0.9996
1365043895822921738,td garden,125,134,ORG,0.5219
1365043895822921738,fenway park,139,150,LOC,0.7204
1365043897060257797,african americans,157,174,MISC,0.9019
1365043897353789446,bibb county schools,0,19,ORG,0.925
1365043897353789446,curtis jones,35,47,PER,0.9995
1365043897353789446,covid,54,59,ORG,0.4188
1365043900642041858,walz,17,21,PER,1.0
1365043900642041858,minnesota,59,68,LOC,1.0
1365043901267140615,arkansas house,28,42,ORG,0.8331
1365043903641112584,covid-19,30,38,MISC,0.9474
1365043903641112584,cdc,107,110,ORG,1.0
1365043909274046475,california,16,26,LOC,0.9999
1365043910444277768,cdc,4,7,ORG,1.0
1365043911471824903,uk,19,21,LOC,0.9997
1365043911471824903,world health organi…,120,140,MISC,0.6807
1365043925833052160,america,117,124,LOC,0.9999
1365043931130585093,covid-19,13,21,MISC,0.6406
1365043931130585093,european,199,207,MISC,0.9854
1365043933403885569,morocco,41,48,LOC,0.9999
1365043933403885569,israel,128,134,LOC,1.0
1365044017994457092,ashley ba,130,139,PER,0.9995
1365044030170484740,california,18,28,LOC,0.9521
1365044030170484740,cal,136,139,LOC,0.4367
1365044046549426182,fda,60,63,ORG,1.0
1365044049242165259,uk,33,35,LOC,0.9989
1365044049242165259,nhs,72,75,ORG,0.7708
1365044078682009602,fda,36,39,ORG,1.0
1365044087267688448,us,57,61,LOC,0.9999
1365044089478078474,coronavirus,79,90,MISC,0.9965
1365044092858552321,california,16,26,LOC,0.9999
1365044095450714116,scotland,17,25,LOC,1.0
1365044095450714116,covid,55,60,PER,0.5825
1365044095450714116,scottish,80,88,MISC,0.9957
1365044095450714116,nicola sturgeon,115,130,PER,0.9723
1365044148374556676,ebay,198,202,MISC,0.473
1365044153156071433,springfield,0,11,LOC,0.9991
1365044153156071433,illinois,14,22,LOC,0.9999
1365044153411923970,dubuque,0,7,LOC,0.837
1365044154238124036,dubuque,0,7,LOC,0.8283
1365044159153909765,us,45,49,LOC,0.9999
1365044169069060096,fda,36,39,ORG,1.0
1365044176262488076,indy,6,10,ORG,0.9489
1365044176262488076,covid,24,29,MISC,0.6342
1365044177600270337,gop state rep,16,29,ORG,0.5787
1365044177600270337,diane grendell,31,45,PER,0.999
1365044177600270337,amish,57,62,MISC,0.9849
1365044177600270337,ohio,73,77,LOC,1.0
1365044196709593090,bonnie henry,42,54,PER,0.9991
1365044196709593090,adrian dix,75,85,PER,0.9998
1365044204146163714,california,87,97,LOC,0.9999
1365044220004868097,billy galvin,0,12,PER,0.9998
1365044220004868097,new city day hab,18,34,LOC,0.7763
1365044220004868097,cornerstone family healthcare,77,106,ORG,0.9346
1365044220004868097,jawonio &amp,144,156,ORG,0.9263
1365044220004868097,billy,187,192,PER,0.9813
1365044220004868097,jawonio,248,255,ORG,0.3112
1365044223788142592,us,22,26,LOC,0.9998
1365044231853735941,uk,33,35,LOC,0.9989
1365044231853735941,nhs,72,75,ORG,0.7708
1365044241345478672,maharashtra,73,84,LOC,0.9999
1365044255559847936,us,55,59,LOC,0.9334
1365044255559847936,the new york times,105,123,ORG,0.9024
1365044316196929540,bonnie henry,56,68,PER,0.999
1365044316196929540,adrian dix,89,99,PER,0.9998
1365044324057157632,saskatchewan,20,32,LOC,0.9997
1365044335327215622,ontario,37,44,LOC,0.9994
1365044354172129284,bonnie henry,56,68,PER,0.999
1365044354172129284,adrian dix,89,99,PER,0.9998
1365044424712069124,iran iran,79,88,LOC,0.984
1365044426494664708,portugal,0,8,LOC,1.0
1365044426494664708,africa,61,67,LOC,0.9991
1365044426494664708,etimor,69,76,ORG,0.6257
1365044426494664708,reuters,95,102,ORG,0.9058
1365044427010506757,cdc,0,3,ORG,1.0
1365044438188380165,covid-19,109,117,MISC,0.7735
1365044438188380165,chesterfi,130,139,LOC,0.9946
1365044510514937873,iran,17,21,LOC,0.9999
1365044520933597184,california,16,26,LOC,0.9999
1365044523953496064,nyc,74,77,LOC,0.9624
1365044523953496064,northeast,86,95,LOC,0.7922
1365044525098409985,sinovac biotech,186,201,ORG,0.9532
1365044532803420163,scotland,104,112,LOC,1.0
1365044555490459649,eu,13,15,ORG,1.0
1365044555490459649,greece,55,61,LOC,0.9999
1365044555490459649,austria,66,73,LOC,1.0
1365044555490459649,eu,91,93,ORG,0.9999
1365044555490459649,europe,195,201,LOC,1.0
1365044561916035076,california,16,26,LOC,0.9999
1365044569096785922,basc,39,43,ORG,0.9948
1365044588046606339,covid-19,80,88,MISC,0.7597
1365044588046606339,georgia,100,107,LOC,1.0
1365044594703028228,us,83,87,LOC,0.9999
1365044608351301635,cnn,77,80,ORG,0.5812
1365044641712644097,coronavirus disease,0,19,MISC,0.6283
1365044641712644097,cdc,38,41,ORG,0.8435
1365044655440723970,fda,36,39,ORG,1.0
1365044664957603843,pa,9,12,LOC,0.9993
1365044664957603843,pa’s,14,19,LOC,0.6218
1365044685694197768,germans,0,7,MISC,0.6926
1365044685694197768,shun astrazeneca,39,55,ORG,0.7369
1365044708498636804,al sharpton,36,47,PER,0.9866
1365044728144818186,chicago vaccine angels,64,86,ORG,0.7758
1365044738538283010,us,45,49,LOC,0.9999
1365044751465086981,us,71,75,LOC,0.9998
1365044759576862720,helendale government,37,57,ORG,0.8049
1365044759576862720,pfizer,120,126,ORG,0.9219
1365044761053323267,bonnie henry,42,54,PER,0.9992
1365044761053323267,adrian dix,75,85,PER,0.9998
1365044786030391298,uk,33,35,LOC,0.9989
1365044786030391298,nhs,72,75,ORG,0.7708
1365044791608762380,iusoutheast,31,42,ORG,0.8282
1365044808037896197,uk,33,35,LOC,0.9989
1365044808037896197,nhs,72,75,ORG,0.7708
1365044808650166275,bonnie henry,52,64,PER,0.9991
1365044808650166275,adrian dix,85,95,PER,0.9998
1365044901470228493,us,83,87,LOC,0.9999
1365044915990855685,biden,13,18,PER,0.9989
1365044915990855685,harris,20,26,PER,0.9951
1365044939378327558,new york,14,22,LOC,0.9552
1365044939378327558,trump,49,54,ORG,0.5688
1365044945401245700,slco health dept,0,16,ORG,0.9092
1365044975117815808,france,0,6,LOC,1.0
1365044975117815808,reuters,72,79,ORG,0.9951
1365044986438443014,covid-19,53,61,MISC,0.8397
1365044986438443014,johns hopkins university,86,110,ORG,0.9366
1365044986635575309,us,45,49,LOC,0.9999
1365044990569811977,fda,36,39,ORG,1.0
1365045009033154560,bonnie henry,42,54,PER,0.9991
1365045009033154560,adrian dix,75,85,PER,0.9998
1365045011193204748,us centers for disease control &amp; prevention,22,69,ORG,0.9338
1365045011193204748,covid-19,110,118,MISC,0.9568
1365045016360542209,costco,14,20,ORG,0.9915
1365045016360542209,the washington post,104,123,ORG,0.9897
1365045017631477765,clinton,27,34,PER,0.999
1365045017631477765,naomi wolf,43,53,PER,0.9988
1365045017631477765,tucker carlson,60,74,PER,0.9946
1365045017631477765,america,85,92,LOC,1.0
1365045025751588870,kansas,0,6,LOC,0.9988
