Tweet_ID,Mentions
1392192784216461313,@thewirein
1392192785848152068,@Adnkronos
1392192785898409988,@Marcoslimamd
1392192786716413963,@LittleLobbyists
1392192787257380868,@rickmalley
1392192787257380868,@7News
1392192787697700864,@pfizer
1392192788062740481,@ImranKhanPTI
1392192788062740481,@SMQureshiPTI
1392192788062740481,@DrFirdousPTI
1392192788062740481,@BBhuttoZardari
1392192788062740481,@AsadUmar
1392192788062740481,@ArifAlvi
1392192788087857155,@Pontifexes
1392192788498948102,@temurdur
1392192788498948102,@WFPCarolSanders
1392192788498948102,@lrkusch
1392192788930912258,@TomiLahren
1392192788985376770,@NACTOs
1392192788985376770,@thatengel
1392192788985376770,@cailincrowe
1392192789430026240,@washingtonpost
1392192790038294535,@ElPitazoTV
1392192792231825409,@MinsaPeru
1392192796698755073,@mianrey
1392192796971311106,@ReutersJapan
1392192797290139652,@sudouest
1392192798372343809,@DixieKat3
1392192800280690707,@revistaforum
1392192800813424655,@kaitlancollins
1392192801522266118,@laderechadiario
1392192802235289605,@BoLu213
1392192802650562562,@elDiarioAR
1392192802650562562,@AnaBreccia
1392192803459973124,@OSTERElizabeth1
1392192806177882119,@CTVNews
1392192808346439683,@CoronavirusAL
1392192808761626637,@cnnbrk
1392192808950321152,@clarincom
1392192809063657480,@LiliramosLanus
1392192809659256832,@SENIATOficial
1392192810045034498,@KenyaPowerCare
1392192812364582914,@tenadegraaf
1392192812364582914,@SharonL24672957
1392192812364582914,@cleudes939
1392192812364582914,@ambercopeland23
1392192812364582914,@OfBieber66
1392192812364582914,@hanifbd0957
1392192812364582914,@MandyCatoe1
1392192812364582914,@compassion2018
1392192812658028547,@TheRightMelissa
1392192813455003655,@atensnut
1392192815069908994,@instlula
1392192815069908994,@LulaOficial
1392192817552891909,@Arezno
1392192817733189635,@BlondePoirson
1392192818807021570,@RandPaul
1392192819519922178,@UtahDepOfHealth
1392192819612291076,@LaSER
1392192819612291076,@LaVentana
1392192819884875783,@todonoticias
1392192820925145095,@EmeraldRobinson
1392192824830009344,@kkaskeline
1392192825220030464,@USFDA
1392192825404526595,@LauraHarth
1392192825404526595,@NYTimes
1392192825945726979,@jjlarrea
1392192826029576197,@LaSER
1392192826029576197,@LaVentana
1392192829380829185,@brexitsham
1392192832807620608,@PHirschkorn
1392192832807620608,@GovJanetMills
1392192832807620608,@POTUS
1392192838851604487,@radiomitre
1392192839975673861,@CLEState
1392192839975673861,@wolsteincenter
1392192841653313541,@IndiaToday
1392192841724698624,@ExmuslimsOrg
1392192842685165568,@WHCOS
1392192847693205507,@commieleejones
1392192848770920448,@RandPaul
1392192848922091522,@CDCgov
1392192849559568385,@JonathanSarfat1
1392192849559568385,@TigerlillySusan
1392192849559568385,@AMSPerkins
1392192849559568385,@eXnihilO
1392192860670205954,@Swamy39
1392192860754219017,@srivatsayb
1392192862423601156,@TSJCLM
1392192862926868492,@RandPaul
1392192862947786752,@damiengayle
1392192862947786752,@AstraZenecas
1392192864755470336,@cnnbrk
1392192865107861507,@MarcusVBMag
1392192865107861507,@realpfigueir
1392192866240323590,@NikosNoulezas
1392192868207452167,@gerdantes
1392192868748390403,@RandPaul
1392192869604085761,@LoksattaLive
1392192870229102597,@radiomitre
1392192872129105922,@BNODesk
1392192875442577410,@KenDixonCT
1392192875442577410,@ConnPost
1392192876734525443,@SenatHamburg
1392192877221003277,@sandraterena
1392192877523087365,@mianrey
1392192879980912646,@GVAsanitat
1392192880849170437,@TheRightMelissa
1392192881884950528,@UnitedTeamOfInd
1392192883113947139,@HuffPost
1392192884460466177,@gorkaorive
1392192886352105473,@COVIDActNow
1392192887232679940,@WHCOS
1392192887719448579,@laderechadiario
1392192888218345472,@Quicktake
1392192889858535433,@Boscardin
1392192895864684554,@OSTERElizabeth1
1392192896347037696,@MaximeBernier
1392192897404055556,@sudouest
