Tweet_ID,NER_Text,Start_Pos,Eng_Pos,NER_Label,Prob
1373529808882257922,adams,60,65,PER,0.9983
1373529808882257922,ied,111,114,MISC,0.5912
1373529809414844418,brazil,113,119,LOC,0.9999
1373529809515466753,covid19,77,84,ORG,0.3696
1373529809515466753,abu dhabi,88,97,LOC,0.9995
1373529809515466753,tariq bin hendi,99,114,PER,0.9948
1373529809515466753,investabudhabi,135,149,ORG,0.8777
1373529809611976707,post-pandemic plans,11,30,MISC,0.7983
1373529809611976707,parenting roundabout podcast,39,67,MISC,0.8939
1373529810362798086,ipl2021,29,36,MISC,0.9903
1373529810362798086,bcci,65,69,ORG,0.9993
1373529810421522436,racism,175,181,MISC,0.5547
1373529810861912067,hindus,31,37,MISC,0.9991
1373529811486965761,hindus,31,37,MISC,0.9991
1373529811491160064,miami,15,20,LOC,0.9999
1373529811679916035,bristol,29,36,LOC,0.9998
1373529811738529794,lori grimes,0,11,PER,0.9962
1373529811738529794,georgia,181,188,LOC,0.9558
1373529811738529794,grimes sarah wayne callies,207,233,ORG,0.7125
1373529812501946372,rasheed,39,46,PER,0.9996
1373529812501946372,mansoor ali khan,72,88,PER,0.9878
1373529812858400772,covid19,44,51,MISC,0.9299
1373529812858400772,taiwan,97,103,LOC,1.0
1373529812921323524,time,35,39,ORG,0.995
1373529812921323524,sinophobia,78,88,MISC,0.9963
1373529812921323524,anti-asian,94,104,MISC,0.9982
1373529812963360768,covid19,18,25,MISC,0.9976
1373529812963360768,un,109,111,ORG,0.9999
1373529813483405312,miami florida,123,136,LOC,0.5667
1373529815752585219,brazil,113,119,LOC,0.9999
1373529816553639936,london,43,49,LOC,1.0
1373529818176888839,europe,36,42,LOC,1.0
1373529818285944834,miami beach,20,31,LOC,0.9802
1373529820580118528,myanmar,15,22,LOC,0.9996
1373529820785737729,sony,15,19,ORG,0.7751
1373529820785737729,microsoft,118,127,ORG,0.7728
1373529822153089025,us,22,26,LOC,0.9994
1373529823478308867,jeff bezos,16,26,PER,0.9994
1373529823625277446,mccain jacket,67,80,MISC,0.8633
1373529823625277446,mccain,108,114,PER,0.5047
1373529825579724800,delhi mai,53,62,PER,0.7571
1373529825995018240,brazil,113,119,LOC,0.9999
1373529825999085569,america,45,52,LOC,1.0
1373529826707996677,nhs,44,47,ORG,0.3099
1373529827203022848,europe,103,109,LOC,0.9997
1373529828868120576,alhamdulillah,48,61,PER,0.98
1373529828868120576,imran khan,125,135,PER,0.9997
1373529829014929409,patel,71,76,PER,1.0
1373529829136470019,brazil,67,73,LOC,1.0
1373529829136470019,icu,117,120,ORG,0.8231
1373529830516461568,us,22,26,LOC,0.9994
1373529830608756736,brazil,113,119,LOC,0.9999
1373529830885449729,ole bielfeldt,82,95,PER,0.9993
1373529830885449729,cologne,106,113,LOC,0.9998
1373529830885449729,germany,115,122,LOC,1.0
1373529831053295616,hazratmuhammad allah kabir,32,58,PER,0.9894
1373529831053295616,muhammad,71,79,PER,0.9114
1373529831258779654,hindus,31,37,MISC,0.9991
1373529831581704194,brazil,67,73,LOC,1.0
1373529831581704194,icu,117,120,ORG,0.8231
1373529831980285953,modi,34,38,PER,1.0
1373529831980285953,indians,126,133,MISC,0.9972
1373529832315891716,gop,45,48,ORG,0.5259
1373529832315891716,gop,108,111,MISC,0.9721
1373529832387178496,tb,0,2,MISC,0.7011
1373529833456734210,queens,35,41,LOC,0.9995
1373529833456734210,jamaica,49,56,LOC,0.6775
1373529833456734210,northern blvd,130,143,LOC,0.8128
1373529833456734210,jh,147,149,LOC,0.9958
1373529833456734210,corona,150,156,LOC,0.9993
1373529834450612224,damn,120,124,PER,0.4761
1373529834610118656,biden,48,53,PER,1.0
1373529836250103810,london,62,68,LOC,1.0
1373529836396888065,cuomo,18,23,PER,1.0
1373529837873229827,corona,54,60,MISC,0.8268
1373529838556827653,australia,55,64,LOC,1.0
1373529838556827653,us,95,97,LOC,0.9999
