Tweet_ID,Sentiment_Label,Logits_Neutral,Logits_Positive,Logits_Negative
1371353960330756096,positive,0.9267615675926208,4.199843883514404,-0.9918022155761719
1371353961286959104,neutral,1.7684950828552246,0.2720898389816284,0.8160799741744995
1371353961433731072,neutral,2.3992812633514404,2.3450870513916016,-0.6619495153427124
1371353961714749440,negative,1.2897924184799194,-0.25710734724998474,1.5227967500686646
1371353962025156610,neutral,1.2013896703720093,1.011641025543213,0.6851745843887329
1371353962654408713,neutral,2.0488057136535645,2.030564546585083,-0.37691113352775574
1371353963128254464,negative,0.642833411693573,-0.3821219801902771,1.8220494985580444
1371353963879038980,neutral,2.0323641300201416,0.8683504462242126,0.09325616806745529
1371353964151775233,neutral,1.8785290718078613,0.22138658165931702,1.0486947298049927
1371353964608950272,positive,0.8393527865409851,1.2539129257202148,0.06940621137619019
1371353965170814977,negative,1.4107496738433838,-0.27809593081474304,1.51961350440979
1371353965661728770,negative,0.6790733933448792,-0.5153504014015198,3.059380054473877
1371353965879644161,neutral,1.5721707344055176,-0.3208678066730499,1.0833903551101685
1371353968320733189,positive,1.5824416875839233,1.7857290506362915,-0.15417644381523132
1371353968635486214,negative,1.103722333908081,-1.4852564334869385,4.231823921203613
1371353969038135298,neutral,1.4834846258163452,0.38459447026252747,0.8365168571472168
1371353969080082432,neutral,1.419285774230957,-0.005967952311038971,0.4317396283149719
1371353970673807362,neutral,2.875389814376831,1.8165900707244873,-0.729114294052124
1371353971466539014,neutral,1.4458765983581543,-0.2382657527923584,1.0083088874816895
1371353971546157056,neutral,1.6076406240463257,1.0857707262039185,0.3838633596897125
1371353972733317120,negative,1.280458927154541,0.07883169502019882,1.5693227052688599
1371353972796137477,positive,1.8650109767913818,5.3891072273254395,-1.8534951210021973
1371353976914862082,negative,1.0380926132202148,-0.4431931674480438,1.1050766706466675
1371353977195962373,neutral,2.0154709815979004,1.1117264032363892,1.2365437746047974
1371353978227863554,neutral,1.584838628768921,0.39566412568092346,0.12293992191553116
1371353978265509888,negative,0.7385237812995911,-0.9556398391723633,2.761652946472168
1371353978433204224,negative,1.0752744674682617,-1.271848440170288,3.1941936016082764
1371353978479448066,positive,1.702246904373169,3.582510471343994,-0.5682854652404785
1371353978638843906,negative,1.4293524026870728,-1.3244942426681519,3.0277464389801025
1371353978672447495,neutral,1.2670778036117554,-0.5343175530433655,1.0705446004867554
1371353981046382592,negative,0.9612401127815247,-0.6321136355400085,1.5283102989196777
1371353982178762755,neutral,1.9684139490127563,0.7464999556541443,-0.3268181383609772
1371353982367457281,neutral,1.9448857307434082,1.3858169317245483,-0.7189655303955078
1371353983835512839,neutral,2.434105634689331,0.5469481945037842,-0.05585472285747528
1371353984808669185,negative,1.757117509841919,-1.0579942464828491,2.3228790760040283
1371353985182003201,negative,1.1525111198425293,-1.1707528829574585,3.110604763031006
1371353985907625984,neutral,2.15946102142334,-0.04439302533864975,0.7251741886138916
1371353986297643009,neutral,2.004220724105835,1.1514617204666138,0.3753613829612732
1371353986612269057,negative,0.13620027899742126,0.15611732006072998,1.9664281606674194
1371353986834522112,neutral,1.6309491395950317,0.46375584602355957,0.6816269159317017
1371353987442642947,neutral,1.5056856870651245,0.8136392831802368,0.4787934720516205
1371353988092719107,neutral,1.3933113813400269,0.9829708933830261,0.3203474283218384
1371353989082542080,neutral,1.6118594408035278,0.8035243153572083,0.2953178882598877
1371353989413888003,positive,1.5548360347747803,1.6659109592437744,0.5832391381263733
1371353989418151940,negative,1.7380253076553345,-1.0296939611434937,2.2162325382232666
1371353989594353668,negative,0.8399145603179932,-0.20735293626785278,1.2533015012741089
1371353991464951810,neutral,1.469992756843567,0.8112802505493164,0.0655663013458252
1371353992396075008,neutral,1.1709855794906616,0.2745414078235626,0.25069737434387207
1371353993046323203,negative,1.165298342704773,-0.13135352730751038,1.7648698091506958
