Tweet_ID,Hastag
1378831312396591105,#overitalready
1378831312396591105,#overanhourwait
1378831312396591105,#rona
1378831312396591105,#easter2021
1378831312396591105,#baseballlife
1378835382851284993,#overitalready
1378835382851284993,#overanhourwait
1378835382851284993,#rona
1378835382851284993,#easter2021
1378835382851284993,#baseballlife
1378829731840294913,#HaddiniziBilin
1378829731840294913,#HodriMeydan
1378829732058304513,#StayHome
1378829732142227456,#Covid19
1378829732142227456,#AztecaNoticiasHN
1378829732142227456,#MásNoticas
1378829732142227456,#MásCercaDeTi
1378829732196851713,#Finanzas
1378829732196851713,#Covid19
1378829732251308040,#UJCCuba
1378829732251308040,#COVID19
1378829732322639875,#AnthonyFauci
1378829732322639875,#Border
1378829732373012480,#P
1378829732377096192,#FakeNews
1378829732377096192,#Misbars
1378829732377096192,#News
1378829732377096192,#Facts
1378829732377096192,#FactCheck
1378829732431597569,#Tamaulipas
1378829732524011520,#Covid19
1378829732763070466,#ZoomAnimal
1378829732809211905,#COVID19
1378829732809211905,#CoronaVirusDE
1378829732809211905,#Merkel
1378829732809211905,#spahnruecktritt
1378829733517959169,#guitar
1378829733517959169,#guitarlessons
1378829733517959169,#learnguitar
1378829733517959169,#learnonline
1378829733517959169,#onlinelearning
1378829733517959169,#lockdown
1378829733517959169,#lockdownlearning
1378829733517959169,#lockdownmotivation
1378829733517959169,#musiclessons
1378829733517959169,#learnmusic
1378829733517959169,#skype
1378829733517959169,#zoom
1378829733517959169,#musical
1378829733517959169,#musicislife
1378829733517959169,#keeplearning
1378829733517959169,#lockdown2021
1378829733706665984,#CoronavirusEA
1378829733744418816,#SAParli
1378829733744418816,#Frontpagestoday
1378829733924847618,#ESPNBike
1378829733924847618,#Sagan
1378829733924847618,#TourDeFlandes
1378829733924847618,#coronavirus
1378829734176378882,#Testimonio
1378829734176378882,#COVID19
1378829734180626432,#hawaiicovid19
1378829734180626432,#covid19
1378829734180626432,#hawaiicovidcharts
1378829734293860356,#NoTeSubasALaTerceraOla
