Tweet_ID,Hastag
1364998601034719233,#COVID19
1364998601034719233,#IA
1364998601034719233,#vaccines
1364998601395568643,#covid19
1364998602016219136,#coronavirus
1364998603970912256,#BlueWaterBridge
1364998603970912256,#COVID19
1364998603970912256,#coronavirus
1364998603970912256,#MDOT
1364998612413943810,#KPRC2
1364998614364262401,#ChartOfTheDay
1364998617128337408,#housecleaning
1364998617128337408,#clean
1364998617128337408,#maidstothemax
1364998617128337408,#covid
1364998617128337408,#residentialcleaning
1364998617128337408,#cleanhome
1364998617128337408,#mdlocalservices
1364998617128337408,#housekeeping
1364998617128337408,#cleaningservice
1364998617128337408,#cleaning
1364998617128337408,#homesweethome
1364998617128337408,#disinfect
1364998617128337408,#cleaner
1364998617128337408,#instaclean
1364998617128337408,#cleaningmotivation
1364998617128337408,#cleanhouse
1364998617128337408,#CDC
1364998617128337408,#maryland
1364998623189082112,#coronavirussa
1364998623189082112,#coronavirus
1364998623189082112,#coronavirusInSA
1364998623189082112,#covid19sa
1364998623189082112,#SouthAfricaLockdown
1364998623189082112,#lockdowninsa
1364998623189082112,#lockdowninsouthafrica
1364998623189082112,#TheBacheloretteSA
1364998648384286722,#pandemic
1364998648384286722,#COVID19
1364998717284044800,#FOX48News
1364998717900607488,#Covid19Pandemic
1364998717900607488,#Covid
1364998747227189249,#KeepNewhamSafe
1364998767229902849,#COVID19
1364998785252741121,#COVID
1364998785252741121,#CoronaPan
1364998785487695873,#Moderna
1364998785487695873,#vaccine
1364998785487695873,#COVID19
1364998785487695873,#Yukon
1364998785487695873,#NWT
1364998785487695873,#Nunavut
1364998814789111810,#business
1364998814789111810,#coronavirus
1364998814789111810,#work
1364998814789111810,#Covid
1364998814789111810,#jab
1364998870950842371,#COVID19
1364998876600492034,#tnleg
1364998897572061184,#Tameside
1364998897572061184,#itworks
1364998898675109893,#Tameside
1364998898675109893,#itworks
1364998901414072320,#Covid19Pandemic
1364998901414072320,#Covid
1364998911866249218,#confinement3
1364998911866249218,#news
1364998939565457410,#confinement3
1364998939565457410,#news
1364998994305290246,#COVID19
1364999035849859075,#StayHome
1364999035849859075,#NorthantsTogether
1364999123573772293,#coronavirus
1364999123573772293,#COVID19
1364999172240207874,#WearAMask
1364999172240207874,#WashYourHands
1364999172240207874,#StayHome
1364999172240207874,#BeSafe
1364999172240207874,#Covid19
1364999172240207874,#Death
1364999172240207874,#coronavirus
1364999172240207874,#COVIDIOTS
1364999172240207874,#Covid19
1364999187608182787,#COVID19
1364999192469336066,#OCCOVID19
1364999203403927557,#coronavirus
1364999212513914883,#COVID19
1364999241161003010,#CUREConnect
1364999241161003010,#COVID19
1364999241161003010,#EndCancer
1364999260538695682,#covd
1364999260538695682,#covid19
1364999260538695682,#coronavirus
1364999260538695682,#dog
1364999260538695682,#dogs
1364999260538695682,#health
1364999260538695682,#pandemic
1364999275071959040,#CoronavirusUpdate
1364999275071959040,#CoronavirusUS
1364999275071959040,#Torangene
1364999283292868608,#covid313
1364999327496630277,#FightCRC
1364999327496630277,#ColorectalCancer
1364999327496630277,#CureConnect
1364999338431115268,#coronavirus
1364999369280299011,#COVID19
1364999414801047553,#COVID19
1364999415988068352,#FightCRC
1364999415988068352,#ColorectalCancer
1364999446228914179,#COVID19
1364999461391400960,#RealWorldData
1364999461391400960,#COVID
1364999496715825152,#RealWorldData
1364999496715825152,#COVID
1364999550096695297,#ajut
1364999550096695297,#ERTO
1364999575560282114,#FightCRC
1364999575560282114,#ColorectalCancer
1364999634226081792,#COVID19
1364999707022426112,#Health
1364999707022426112,#Coronavirus
1364999707022426112,#CoronavirusCases
1364999707022426112,#CoronavirusNe
1364999741986152448,#Mumbai
1364999741986152448,#coronavirus
1364999741986152448,#Corona
1364999741986152448,#MumbaiUniversity
1364999741986152448,#COVID
