"","Year","Month","Day","Sentiment","Count","Avg_Per"
"111","2020",2,27,"positive",38060,0.0567084270833333
"112","2020",2,28,"negative",683442,0.480092791916667
"113","2020",2,28,"neutral",723081,0.460780088541667
"114","2020",2,28,"positive",85570,0.0591271195833333
"115","2020",2,29,"negative",1552649,0.505401593625
"116","2020",2,29,"neutral",1302247,0.433035860708333
"117","2020",2,29,"positive",186589,0.06156254575
"118","2020",3,1,"negative",1079866,0.478823423708333
"119","2020",3,1,"neutral",1030951,0.458680070708333
"120","2020",3,1,"positive",139380,0.062496505625
"121","2020",3,2,"negative",257533,0.452820919791667
"122","2020",3,2,"neutral",249753,0.445406352875
"123","2020",3,2,"positive",56736,0.101772727375
"124","2020",3,3,"negative",1150953,0.477321130666667
"125","2020",3,3,"neutral",1093097,0.449270055625
"126","2020",3,3,"positive",166550,0.0734088138333333
"127","2020",3,4,"negative",1170227,0.446436137875
"128","2020",3,4,"neutral",1252895,0.482554234583333
"129","2020",3,4,"positive",180967,0.0710096275833333
"130","2020",3,5,"negative",321755,0.441727162666667
"131","2020",3,5,"neutral",349877,0.483117270625
"132","2020",3,5,"positive",54860,0.0751555667916667
"133","2020",3,6,"negative",357364,0.463092059125
"134","2020",3,6,"neutral",345400,0.451522258125
"135","2020",3,6,"positive",65106,0.0853856827916667
"136","2020",3,7,"negative",394389,0.509875615666667
"137","2020",3,7,"neutral",319390,0.414274825958333
"138","2020",3,7,"positive",58691,0.075849558375
"139","2020",3,8,"negative",364863,0.490156155458333
"140","2020",3,8,"neutral",323381,0.433194503333333
"141","2020",3,8,"positive",57205,0.07664934125
"142","2020",3,9,"negative",357599,0.472684513875
"143","2020",3,9,"neutral",341233,0.454476174
"144","2020",3,9,"positive",54956,0.0728393120833333
"145","2020",3,10,"negative",341765,0.470203164
"146","2020",3,10,"neutral",331617,0.456668029916667
"147","2020",3,10,"positive",52935,0.0731288061666667
"148","2020",3,11,"negative",327084,0.4482168885
"149","2020",3,11,"neutral",345490,0.47581710125
"150","2020",3,11,"positive",55194,0.075966010125
"151","2020",3,12,"negative",322441,0.438690286875
"152","2020",3,12,"neutral",354053,0.483971954666667
"153","2020",3,12,"positive",57886,0.0773377584583333
"154","2020",3,13,"negative",309781,0.455552031375
"155","2020",3,13,"neutral",322264,0.468102833916667
"156","2020",3,13,"positive",50904,0.0763451344583333
"157","2020",3,14,"negative",310743,0.455523477708333
"158","2020",3,14,"neutral",312765,0.458955928333333
"159","2020",3,14,"positive",58287,0.0855205939166667
"160","2020",3,15,"negative",280025,0.433869519458333
"161","2020",3,15,"neutral",302435,0.469352533625
"162","2020",3,15,"positive",62347,0.096777947
"163","2020",3,16,"negative",254148,0.405730576583333
"164","2020",3,16,"neutral",310187,0.49517659325
"165","2020",3,16,"positive",61901,0.099092830125
"166","2020",3,17,"negative",576972,0.403662375458333
"167","2020",3,17,"neutral",736659,0.512497012583333
"168","2020",3,17,"positive",119588,0.083840611875
"169","2020",3,18,"negative",420011,0.435243081375
"170","2020",3,18,"neutral",428722,0.471903333625
"171","2020",3,18,"positive",79093,0.0928535850416667
"172","2020",3,19,"negative",754476,0.46125084475
"173","2020",3,19,"neutral",734128,0.448499012541667
"174","2020",3,19,"positive",147820,0.090250142625
"175","2020",3,20,"negative",735432,0.442166859083333
"176","2020",3,20,"neutral",781173,0.470163927208333
"177","2020",3,20,"positive",145708,0.08766921375
"178","2020",3,21,"negative",657147,0.438951927458333
"179","2020",3,21,"neutral",693306,0.4629611695
"180","2020",3,21,"positive",147177,0.0980869031666667
"181","2020",3,22,"negative",761859,0.447978155708333
"182","2020",3,22,"neutral",777304,0.45756882675
"183","2020",3,22,"positive",159768,0.094453017625
"184","2020",3,23,"negative",792262,0.453637609333333
"185","2020",3,23,"neutral",802144,0.458237203166667
"186","2020",3,23,"positive",154096,0.0881251875
"187","2020",3,24,"negative",230022,0.416173653333333
"188","2020",3,24,"neutral",261954,0.475041948166667
"189","2020",3,24,"positive",59905,0.108784398708333
"190","2020",3,25,"negative",288356,0.393821224291667
"191","2020",3,25,"neutral",356055,0.49027399425
"192","2020",3,25,"positive",82139,0.115904781375
"193","2020",3,26,"negative",770442,0.432476183583333
"194","2020",3,26,"neutral",846946,0.475357174583333
"195","2020",3,26,"positive",164222,0.0921666420416667
"196","2020",3,27,"negative",636935,0.408708759916667
"197","2020",3,27,"neutral",742582,0.481188737166667
"198","2020",3,27,"positive",168503,0.110102502916667
"199","2020",3,28,"negative",729384,0.420494617416667
"200","2020",3,28,"neutral",822024,0.474776292833333
"201","2020",3,28,"positive",181405,0.104729089833333
"202","2020",3,29,"negative",770852,0.442803330458333
"203","2020",3,29,"neutral",800932,0.46153490425
"204","2020",3,29,"positive",165763,0.0956617654166667
"205","2020",3,30,"negative",552804,0.440430015375
"206","2020",3,30,"neutral",566267,0.46201287625
