"","Month","Date","#OR","#RT","#Total","#Geo","MaxRt","MDRT","MaxLike","MDLike","NA"
"69",1,"2020_01_24_20",5870,17866,23736,3,182205,64,2648,0,"Jan"
"70",1,"2020_01_24_21",5611,21256,26867,2,182265,179,127951,0,"Jan"
"71",1,"2020_01_24_22",5346,20944,26290,3,182194,129,116727,0,"Jan"
"72",1,"2020_01_24_23",4979,20501,25480,1,182251,194.5,6256,0,"Jan"
"73",1,"2020_01_25_00",4787,23060,27847,4,182246,286,10008,0,"Jan"
"74",1,"2020_01_25_01",5099,24480,29579,2,182245,262,29373,0,"Jan"
"75",1,"2020_01_25_02",4608,25190,29798,4,182244,390,28061,0,"Jan"
"76",1,"2020_01_25_03",4687,27645,32332,2,182185,535,14739,0,"Jan"
"77",1,"2020_01_25_04",4602,32100,36702,5,182206,735,10109,0,"Jan"
"78",1,"2020_01_25_05",4312,30370,34682,12,182211,700,2448,0,"Jan"
"79",1,"2020_01_25_06",4232,29621,33853,2,182205,745,18993,0,"Jan"
"80",1,"2020_01_25_07",4144,27968,32112,5,182247,774,101720,0,"Jan"
"81",1,"2020_01_25_08",4915,28191,33106,4,182204,670,21184,0,"Jan"
"82",1,"2020_01_25_09",4326,27712,32038,6,182241,559,5801,0,"Jan"
"83",1,"2020_01_25_10",4143,27830,31973,4,182222,682,37314,0,"Jan"
"84",1,"2020_01_25_11",4340,30783,35123,1,182252,682,334802,0,"Jan"
"85",1,"2020_01_25_12",4730,34686,39416,6,182196,758,23611,0,"Jan"
"86",1,"2020_01_25_13",5420,39072,44492,5,182186,759,13579,0,"Jan"
"87",1,"2020_01_25_14",6328,45743,52071,4,345661,652,13503,0,"Jan"
"88",1,"2020_01_25_15",6741,47906,54647,6,182198,533,2331,0,"Jan"
"89",1,"2020_01_25_16",6186,42181,48367,1,182205,749,5922,0,"Jan"
"90",1,"2020_01_25_17",5717,34791,40508,6,182195,627,66183,0,"Jan"
"91",1,"2020_01_25_18",5480,28496,33976,6,182257,502,47381,0,"Jan"
"92",1,"2020_01_25_19",5379,25503,30882,3,182249,359,8597,0,"Jan"
"93",1,"2020_01_25_20",4882,22336,27218,2,182253,286,25735,0,"Jan"
"94",1,"2020_01_25_21",4646,21218,25864,2,182240,253,224438,0,"Jan"
"95",1,"2020_01_25_22",5363,26064,31427,2,182249,307,7056,0,"Jan"
"96",1,"2020_01_25_23",6395,31681,38076,8,182230,429,9408,0,"Jan"
"97",1,"2020_01_26_00",5561,34061,39622,6,182467,657,15184,0,"Jan"
"98",1,"2020_01_26_01",5647,37205,42852,3,182667,840,61854,0,"Jan"
"99",1,"2020_01_26_02",5594,39596,45190,3,182874,1032,128360,0,"Jan"
